"","dorsal_UV","dorsal_VIS","dorsal_NIR","dorsal_solar_reflectance"
"MVZ33529",0.055899608,0.1125638,0.559189012,0.236439258
"MVZ46851",0.051878824,0.1161339,0.506844565,0.225456456
"MVZ46853",0.052222353,0.1206873,0.544198224,0.246130589
"MVZ65511",0.053029804,0.12226185,0.538614612,0.244214506
"MVZ65513",0.04910902,0.1017394,0.537309835,0.225638942
"MVZ82381",0.045540784,0.10399885,0.530197388,0.222354505
"MVZ133192",0.048252157,0.0957123,0.493555435,0.391536922
"MVZ134098",0.074183922,0.1711005,0.590341894,0.528768434
"MVZ134099",0.065216078,0.1329246,0.523545188,0.337160044
"MVZ134250",0.054353725,0.1292517,0.557783259,0.366491452
"MVZ57430",0.063592549,0.13778495,0.536010741,0.454907542
"MVZ57431",0.08355451,0.1920525,0.599899341,0.485679249
"MVZ57432",0.074105098,0.1611062,0.566621706,0.377081424
"MVZ57441",0.080018431,0.1762233,0.580174506,0.39656743
"MVZ67608",0.05496902,0.11345335,0.494233518,0.451357242
"MVZ67701",0.058568235,0.1468724,0.554761129,0.465183497
"MVZ69178",0.061937255,0.1296772,0.528901471,0.354469022
"MVZ69181",0.075812549,0.151345,0.572732141,0.457594991
"MVZ69184",0.05744,0.1186159,0.538878871,0.360917803
"MVZ90359",0.06546,0.14138385,0.416227682,0.298012683
"MVZ90360",0.073727451,0.13974555,0.373054765,0.277820649
"MVZ90361",0.079540784,0.16354885,0.426916847,0.308598618
"MVZ90362",0.068616863,0.1276805,0.403693659,0.304780825
"MVZ90365",0.054367059,0.10419405,0.383274906,0.268664401
"MVZ64678",0.063065098,0.1549125,0.533880471,0.401506384
