"","lumMean","lumSD","area","maxPower","maxFreq","propPower","sumPower","meanPower","powerSD","uvMean","uvSD","swMean","swSD","mwMean","mwSD","lwMean","lwSD","dblMean","dblSD"
"MVZ59543","8913.151","3547.551","354732","510.093","24.675","0.028","18275.841","372.976","91.332","4486.781","1422.404","6581.472","2482.309","9011.793","3597.871","10280.941","4086.303","8913.151","3547.551"
"MVZ59545","10183.298","3811.201","387212","516.232","26.909","0.027","19165.566","391.134","82.598","4446.45","1378.842","7237.977","2653.798","10263.909","3868.211","11902.498","4391.559","10183.298","3811.201"
"MVZ59552","13802.724","3998.244","338643","531.068","24.675","0.026","20104.3","410.292","78.015","6408.252","1966.751","9852.009","2919.061","13785.149","4056.033","16220.949","4629.239","13802.724","3998.244"
"MVZ59558","10517.569","3383.142","321338","445.392","32","0.026","17151.4","350.029","64.349","5191.205","1557.114","7519.644","2435.791","10514.07","3455.113","12451.146","3926.496","10517.569","3383.142"
"MVZ59559","9833.344","3338.394","405126","430.337","24.675","0.026","16786.295","342.577","54.965","4970.345","1523.666","7035.255","2365.759","9857.946","3390.48","11615.54","3924.196","9833.344","3338.394"
"MVZ59560","10365.976","4140.099","334506","619.546","32","0.029","21437.484","437.5","117.986","4820.509","1607.298","7479.21","2882.404","10451.502","4202.998","12040.33","4734.263","10365.976","4140.099"
"MVZ59563","16087.233","5008.472","311165","675.872","26.909","0.028","24295.517","495.827","131.019","6699.473","1987.638","10938.101","3528.075","16079.503","5091.238","19117.06","5699.703","16087.233","5008.472"
"MVZ73374","6761.422","2143.748","446463","314.983","22.627","0.029","10855.288","221.536","58.654","2644.939","904.346","4493.441","1535.987","6860.115","2199.696","8149.348","2436.617","6761.422","2143.748"
"MVZ82371","6780.898","2171.669","456861","316.538","22.627","0.029","11025.539","225.011","58.323","2660.714","924.558","4511.624","1563.107","6888.081","2226.83","8151.764","2465.335","6780.898","2171.669"
"MVZ120124","6086.912","3130.843","355401","431.538","29.344","0.028","15435.158","315.003","72.58","2422.378","1023.499","3954.432","1935.127","6219.206","3132.211","7349.621","3845.554","6086.912","3130.843"
