"","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19"
"MVZ164441","114.2","149.62","45.82","6185.78","311.38","-11.4","322.78","41.9","196.22","196.22","40.9","571.08","96.08","8.3","58.16","265.16","45.16","45.16","234.08"
"MVZ164443","113.58","149.86","45.96","6165.42","310.62","-11.86","322.48","41.66","195.46","195.46","40.66","574.3","96.3","8.38","57.78","265.64","45.74","45.74","234.28"
"MVZ164445","114.1","149.72","45.94","6177.86","311.16","-11.44","322.6","41.88","196.02","196.02","40.86","570.02","95.8","8.24","57.82","264.32","45.22","45.22","233.14"
"MVZ164447","114.46","149.56","45.88","6182.44","311.58","-11.04","322.62","42.28","196.48","196.48","41.28","570.38","95.8","8.34","58.14","264.52","45.22","45.22","233.6"
"MVZ164450","113.3","149.9","45.82","6167.94","310.48","-12.2","322.68","41.3","195.2","195.2","40.3","576.58","96.84","8.36","57.88","267.16","45.68","45.68","235.52"
"MVZ164452","114.04","149.72","45.9","6179.54","311.14","-11.52","322.66","41.82","196","196","40.82","571.08","95.96","8.3","57.92","264.72","45.34","45.34","233.56"
"MVZ164454","113.08","149.94","45.86","6165","310.22","-12.44","322.66","41.14","194.94","194.94","40.12","576.66","96.92","8.34","57.9","267.28","45.66","45.66","235.64"
"MVZ164457","115.04","149.4","45.74","6199","312.3","-10.56","322.86","42.48","197.2","197.2","41.48","564.86","95.08","8.18","58.12","262.6","44.6","44.6","231.78"
"MVZ33529","112.18","121.8","44.52","5233.54","276.12","5.26","270.86","52.66","180.5","181.26","48.88","1071.84","180.24","12.4","64.9","514.34","67.3","71.26","482.6"
"MVZ46851","117.16","148.64","45.32","6253.74","315.2","-8.54","323.74","44.02","200.12","200.12","42.7","554.8","93.92","8.02","58.88","260.18","42.88","42.88","230.68"
"MVZ46853","119.5","148.36","45","6339.98","319.24","-6.72","325.96","45.46","203.48","203.48","43.7","531.92","91.9","8","60.58","254.24","39.84","39.84","227.76"
"MVZ65511","118.28","148.36","45.22","6281.54","316.5","-7.56","324.06","44.66","201.42","201.42","43.28","549.68","93.38","8","59.28","258.84","42.3","42.3","229.94"
"MVZ65513","117.62","148.44","45.18","6273.08","315.88","-8.2","324.08","44.2","200.76","200.76","42.92","549.1","93.3","8","59.3","258.22","42.4","42.4","228.96"
"MVZ82381","104.14","101.84","41.58","4925.16","243.12","1.5","241.62","48.22","167.96","167.96","44.56","1038.58","161.5","21.22","57.38","477.9","91.18","91.18","430.44"
"MVZ133192","23.24","165.48","41.58","7538.52","245.6","-148.42","394.02","-55.78","120.72","122.72","-68.42","459.32","52.42","23.9","24.08","148.12","77.18","90.58","139.1"
"MVZ134098","80.44","147.14","36","8710.26","306.7","-95.9","402.6","-19.82","187.22","194.36","-32.04","265.3","30.84","11.02","27.3","84.48","40.58","49.12","76.76"
"MVZ134099","63.82","149.18","37.78","8179.96","284.36","-108","392.36","96.62","105.26","171.74","-38.76","334.88","43.9","20.74","22.44","110.12","69.12","88.14","77.88"
"MVZ134250","41.86","174.7","42.02","7672.1","271.78","-135.8","407.58","-41.84","139.36","142.96","-53.48","373.9","42.58","17.7","26.22","121.42","60.3","72.52","110.54"
"MVZ57430","97.1","182.3","43.02","8022","327.92","-89.36","417.28","83.82","43.84","203.66","-2.24","188.1","20.18","11.1","16.02","56.78","39.32","47.06","41.2"
"MVZ57431","97.02","182.46","43","8016.84","327.84","-89.56","417.4","83.78","43.84","203.44","-2.28","187.64","20.18","11.04","16.08","56.58","39.12","47.1","41.08"
"MVZ57432","96.9","182.42","43","8012.46","327.68","-89.58","417.26","83.62","43.74","203.24","-2.36","187.76","20.16","11.06","15.98","56.54","39.18","47.18","41.12"
"MVZ57441","97.06","182.44","43.02","8012.58","327.86","-89.38","417.24","83.82","43.9","203.38","-2.26","187.46","20.2","11.02","16.32","56.78","39.08","46.9","41.04"
"MVZ67608","54.5","173.4","43","7593.66","284.96","-116.74","401.7","-29.52","150.68","155.32","-39.7","356.02","41.92","12.86","30.88","123.84","49.26","61.26","112.78"
"MVZ67701","81.86","147.48","37.14","8264.3","302.26","-87.36","389.62","117.98","178.14","190.58","-23.14","269.86","36.56","16.24","25.62","91.98","52.14","63.94","63.2"
"MVZ69178","26.14","165.84","38.9","8632.76","256.82","-165.6","422.42","111.64","-64.38","136.62","-85.5","287.06","41.94","13.76","35.38","107.88","49.82","98.02","51.48"
"MVZ69181","18.9","165.08","39","8545.18","247.56","-171.36","418.92","103.1","-56.64","128.2","-91.04","315.2","43.64","16.56","30.32","112.8","59.44","102.78","61.82"
"MVZ69184","19.42","165.16","39","8555.3","248.32","-171.08","419.4","103.78","-57.06","128.82","-90.66","312.7","43.46","16.36","30.52","112.3","58.7","102.36","61"
"MVZ90359","65.02","132.14","34.68","8289.22","277.98","-97.58","375.56","10.54","175.78","175.78","-35.54","657.94","77.6","30.4","26.64","210.56","100.96","100.96","191.04"
"MVZ90360","64.5","132.3","34.72","8277.14","277.28","-98.04","375.32","9.22","175.08","175.08","-35.82","661.06","77.9","30.58","26.74","211.36","101.34","101.34","192.48"
"MVZ90361","63.32","131.56","34.8","8263.2","275.14","-98.64","373.78","4.74","173.94","173.94","-36.76","664.2","78.26","30.76","26.88","212.88","102.28","102.28","194.24"
"MVZ90362","66.7","131.88","34.48","8321.94","279.86","-96.32","376.18","19.44","177.9","177.9","-34.38","649.64","76.42","29.94","26.68","208.18","99.84","99.84","187.46"
"MVZ90365","66.6","132.52","34.64","8316.6","279.96","-96.6","376.56","14.16","177.66","177.66","-34.44","651.86","76.68","30.12","26.54","208.38","100.04","100.04","188.28"
"MVZ64678","73.24","166.04","40.94","8022.48","295.96","-107.14","403.1","57.58","114.68","179.28","-26.34","294.26","31.76","19.82","13.5","90.08","66.16","67.46","67.5"
