"","CFRAG","SDTO","STPC","CLPC","BULK","TAWC","ORGC","TOTN","CNrt","CECS","ECEC","TEB","BSAT","ALSA","ESP","PHAQ","TCEQ","GYPS","ELCO"
"MVZ5435",17.1666666666667,57.0666666666667,25.4833333333333,17.45,1.44716666058333,15.1,11.2628332280833,0.9549166728,10.3416666666667,13.5166666666667,20.1333333333333,17.675,89.225,0,2.65,7.05583332025,22.7833333333333,11.2666666666667,1.13333333333333
"MVZ5436",17.1666666666667,57.0666666666667,25.4833333333333,17.45,1.44716666058333,15.1,11.2628332280833,0.9549166728,10.3416666666667,13.5166666666667,20.1333333333333,17.675,89.225,0,2.65,7.05583332025,22.7833333333333,11.2666666666667,1.13333333333333
"MVZ78852",15.2,58.1666666666667,24.6333333333333,17.2,1.48399999133333,13.4333333333333,7.997333373,0.862333344533333,10.1,13.3666666666667,21.8666666666667,20.8666666666667,93.7333333333333,0,2.1,7.26333333766667,38.9,4.96666666666667,1
"MVZ82391",12.9,50.4,32.4333333333333,17.1666666666667,1.422666658,18.0333333333333,10.990999932,1.1016666627,10.4333333333333,14.9333333333333,27.2666666666667,25.2,90.2333333333333,0,2.56666666666667,7.34333331,47.7333333333333,20.7333333333333,1
"MVZ63384",11.55,57.7,33.6,8.7,1.1760000485,22.65,47.285999465,3.631000019,17.1,20.75,10.6,6.85,30.2,31.2,1,4.7499998775,0,0.05,0.15
"MVZ63386",11.55,57.7,33.6,8.7,1.1760000485,22.65,47.285999465,3.631000019,17.1,20.75,10.6,6.85,30.2,31.2,1,4.7499998775,0,0.05,0.15
"MVZ102726",10.48,48.42,27.18,24.4,1.4708000184,15.78,11.4278000556,1.16379998734,10.1,16.46,23.64,22.56,88.38,0,6.24,7.200000029,31.38,10.18,1.36
"MVZ102727",10.48,48.42,27.18,24.4,1.4708000184,15.78,11.4278000556,1.16379998734,10.1,16.46,23.64,22.56,88.38,0,6.24,7.200000029,31.38,10.18,1.36
"MVZ140817",10.05,50.65,30.8,18.55,1.4804999895,15.1,6.467999889,0.7920000107,9.6,13.95,34.7,34.9,97.05,0,10.85,7.854999924,90.8,16.1,3.3
"MVZ162726",13.5,59,24.85,16.15,1.48549999,13.75,6.5234999675,0.74750000825,9.75,12.5,24.55,23.8,94.75,0,2.35,7.499999929,61.2,6.15,1
"MVZ162727",13.5,59,24.85,16.15,1.48549999,13.75,6.5234999675,0.74750000825,9.75,12.5,24.55,23.8,94.75,0,2.35,7.499999929,61.2,6.15,1
"MVZ162729",13.5,59,24.85,16.15,1.48549999,13.75,6.5234999675,0.74750000825,9.75,12.5,24.55,23.8,94.75,0,2.35,7.499999929,61.2,6.15,1
"MVZ162730",13.5,59,24.85,16.15,1.48549999,13.75,6.5234999675,0.74750000825,9.75,12.5,24.55,23.8,94.75,0,2.35,7.499999929,61.2,6.15,1
"MVZ19502",11.78,47.52,27.66,24.82,1.463800026,15.62,12.3056000626,1.14079999832,10.58,15.94,20.96,19.86,85.3,0,3.06,6.9580000122,23.42,10.06,1.34
"MVZ22501",12.25,54.55,27.45,18,1.262500017,13.8,16.8379998035,1.31950001325,12.45,12.25,15.75,13.9,68.5,9.85,1.65,6.3449998855,32.9,4.75,0.65
"MVZ22502",12.25,54.55,27.45,18,1.262500017,13.8,16.8379998035,1.31950001325,12.45,12.25,15.75,13.9,68.5,9.85,1.65,6.3449998855,32.9,4.75,0.65
"MVZ24550",11.35,52.3,27.525,20.175,1.37475001225,15.3,13.0012499,1.1575000044,10.925,13.6,19.775,19.125,80.625,4.925,3.4,6.8524999625,38.65,11.075,1.3
"MVZ29153",10.3,51.6166666666667,26.3333333333333,22.05,1.40233334866667,14.7333333333333,13.1770000021667,1.23349999491667,10.8666666666667,15.1333333333333,20.5333333333333,19.3166666666667,81.75,3.28333333333333,5.36666666666667,6.86166663933333,23.8,7.11666666666667,1.18333333333333
"MVZ29166",14.1,48.2333333333333,29.3666666666667,22.4,1.46400001133333,15.7333333333333,12.3566666003333,1.07266666906667,10.4333333333333,15.2666666666667,22.0666666666667,21.1,88.7,0,2.13333333333333,7.173333312,42.4333333333333,11.7333333333333,1
"MVZ29169",14.1,48.2333333333333,29.3666666666667,22.4,1.46400001133333,15.7333333333333,12.3566666003333,1.07266666906667,10.4333333333333,15.2666666666667,22.0666666666667,21.1,88.7,0,2.13333333333333,7.173333312,42.4333333333333,11.7333333333333,1
"MVZ29170",14.1,48.2333333333333,29.3666666666667,22.4,1.46400001133333,15.7333333333333,12.3566666003333,1.07266666906667,10.4333333333333,15.2666666666667,22.0666666666667,21.1,88.7,0,2.13333333333333,7.173333312,42.4333333333333,11.7333333333333,1
"MVZ29172",14.1,48.2333333333333,29.3666666666667,22.4,1.46400001133333,15.7333333333333,12.3566666003333,1.07266666906667,10.4333333333333,15.2666666666667,22.0666666666667,21.1,88.7,0,2.13333333333333,7.173333312,42.4333333333333,11.7333333333333,1
"MVZ29173",13.9,51.4,27.9,20.7,1.457000006,14.5,12.745999964,1.074000007,10.7,14.6,20.4,19.1,87.4,0,2,7.019999933,28.3,7.3,1
"MVZ29177",13.9,51.4,27.9,20.7,1.457000006,14.5,12.745999964,1.074000007,10.7,14.6,20.4,19.1,87.4,0,2,7.019999933,28.3,7.3,1
"MVZ82393",10.48,48.42,27.18,24.4,1.4708000184,15.78,11.4278000556,1.16379998734,10.1,16.46,23.64,22.56,88.38,0,6.24,7.200000029,31.38,10.18,1.36
"MVZ82394",10.48,48.42,27.18,24.4,1.4708000184,15.78,11.4278000556,1.16379998734,10.1,16.46,23.64,22.56,88.38,0,6.24,7.200000029,31.38,10.18,1.36
"MVZ139540",17.2575,54.91125,26.4875,18.60125,1.4222125338375,15.72875,9.9030375205875,0.850087493455,11.335,14.35375,28.245,25.8075,89.11875,0.20625,3.5575,7.4997499605375,67.1125,12.2625,1.0375
"MVZ139544",16.5728571428571,54.87,26.9714285714286,18.1585714285714,1.42117146088571,15.6828571428571,9.36411429402857,0.831885708884286,11.1185714285714,13.8471428571429,29.1514285714286,26.3442857142857,88.95,0.235714285714286,3.76571428571429,7.5654285249,74,11.8642857142857,1.10714285714286
"MVZ139545",18.24,55.1942857142857,26.1314285714286,18.6742857142857,1.42265718064286,15.5642857142857,10.4396000386714,0.856199993268572,11.66,14.43,26.78,24.08,88.11,0.235714285714286,2.26857142857143,7.4215714041,60.5385714285714,9.62571428571429,0.764285714285714
"MVZ139546",16.5728571428571,54.87,26.9714285714286,18.1585714285714,1.42117146088571,15.6828571428571,9.36411429402857,0.831885708884286,11.1185714285714,13.8471428571429,29.1514285714286,26.3442857142857,88.95,0.235714285714286,3.76571428571429,7.5654285249,74,11.8642857142857,1.10714285714286
"MVZ143776",16.05375,56.35625,27.06625,16.5775,1.421262533875,15.2925,8.1440750008,0.7572624958825,10.845,12.2725,29.5175,25.34875,87.77625,0.20625,2.52375,7.67737497425,86.0075,8.18125,0.8775
